"Item","Horizon","Theme","Kind","Segments","Platforms","Effort","Evidence","Phase","Source"
"A 10-minute rescue session for the days that fall apart","Now","Get back on track","feature","Lifestyle client, Coached client","iOS, api","M","Adherence PRD","A","Adherence PRD"
"Ramp back after a break instead of starting over","Now","Get back on track","feature","Lifestyle client, Coached client","iOS, api","M","Adherence PRD","A","Adherence PRD"
"One cue a day that opens straight into the action","Now","Get back on track","feature","Lifestyle client, Coached client","api, iOS","M","Production","A","Production gap"
"Make the weekly check-in the ritual it was designed to be","Now","See progress","feature","Lifestyle client, Coached client","iOS, api","M","Production","B","Production data"
"Give the week back as something worth reading","Now","See progress","feature","Lifestyle client, Coached client","iOS, api","M","Production","B","Launch gate"
"Carry a new client through week one without a coach","Now","Get started","feature","Lifestyle client","iOS, api","M","Production","","Production data"
"Apple Health steps, verified on a real phone","Now","Data & platform","fix","Lifestyle client","iOS, api","S","Device check","","Device check"
"Saudi food coverage: verified restaurant items, clean barcodes","Now","Data & platform","content","Lifestyle client","api, data","M","Demand elsewhere","","MacroFactor · 3974 votes"
"Measure the loop end to end","Now","Data & platform","infra","Coach & admin","api, web","S","Production","","Open PR #31"
"Repeat a meal in one tap","Next","Daily loop","feature","Lifestyle client","iOS, api","M","Demand elsewhere","","MacroFactor · 5777 votes"
"Suggest meals from what the client already eats","Next","Daily loop","feature","Lifestyle client","iOS, api","M","Demand elsewhere","","MacroFactor · 5136 votes"
"A weigh-in reminder that fits the routine","Next","Daily loop","feature","Lifestyle client","iOS, api","S","Demand elsewhere","","MacroFactor · 6649 votes"
"Water logging for a hot-climate routine","Next","Daily loop","feature","Lifestyle client","iOS, api","M","Demand elsewhere","","MacroFactor · 5635 votes"
"Arabic that reads native wherever it shows","Next","Data & platform","polish","Lifestyle client, Coached client, Coach & admin","iOS, web, dashboard","L","Product call","","Product call"
"A weekly summary the client can send to a friend","Next","See progress","feature","Lifestyle client","iOS, api","M","Adherence PRD","B","Adherence PRD"
"Body measurements so slow progress is visible","Next","See progress","feature","Lifestyle client, Coached client","iOS, api","M","Adherence PRD","C","Adherence PRD"
"Two-track, repairable streaks and badges","Next","See progress","feature","Lifestyle client","iOS, api","M","Adherence PRD","C","Adherence PRD"
"Check-in reasons and trends on the coach dashboard","Next","Coach & support","feature","Coached client, Coach & admin","dashboard, api","M","Adherence PRD","","Adherence PRD"
"Exercise videos that play on a bad gym connection","Next","Daily loop","polish","Lifestyle client","iOS","M","Device check","","Device check"
"Settle the step-target ceiling and movement credit","Next","Get started","research","Lifestyle client","api, data","S","Product call","","Open decision"
"Ramadan mode: fasting-aware days, iftar-aligned meals","Later","Daily loop","feature","Lifestyle client","iOS, api","L","Product call","","Product call · around February 2027"
"Plan the week's meals, not just the day","Later","Daily loop","feature","Lifestyle client","iOS, api","L","Demand elsewhere","","MacroFactor · 6659 votes"
"Read sleep from Apple Health as context, not a tracker","Later","Data & platform","feature","Lifestyle client","iOS, api","M","Demand elsewhere","","MacroFactor · 14155 votes"
"Home-screen widget: today at a glance","Later","Daily loop","feature","Lifestyle client","iOS","M","Demand elsewhere","","MacroFactor · 2485 votes"
"Bring a friend: referral with badges, not discounts","Later","See progress","feature","Lifestyle client","iOS, api","M","Adherence PRD","D","Adherence PRD"
"Fasting window indicator for voluntary fasting","Later","Daily loop","feature","Lifestyle client","iOS, api","M","Demand elsewhere","","MacroFactor · 3896 votes"
"Cycle-aware weight trend","Later","See progress","feature","Lifestyle client","iOS, api","M","Demand elsewhere","","MacroFactor · 3635 votes"
"Client web app","Parked","Data & platform","feature","Advanced scope","web","L","Demand elsewhere","","MacroFactor · 5281 votes"
"Alcohol calorie calculator","Parked","Daily loop","feature","Lifestyle client","iOS","S","Demand elsewhere","","MacroFactor · 4773 votes"
"Micronutrient targets (iodine, %DV, pregnancy)","Parked","Daily loop","feature","Advanced scope","iOS, api","M","Demand elsewhere","","MacroFactor · 1202 votes"
"Net carbs","Parked","Daily loop","feature","Advanced scope","api","S","Demand elsewhere","","MacroFactor · 1339 votes"
"Garmin, Oura and Whoop integrations","Parked","Data & platform","feature","Advanced scope","iOS, api","L","Product call","","Product call"
"Digestive tracker","Parked","Daily loop","feature","Lifestyle client","iOS, api","M","Demand elsewhere","","MacroFactor · 4421 votes"
"Apple Watch companion","Parked","Data & platform","feature","Advanced scope","iOS","L","Demand elsewhere","","MacroFactor · 1964 votes"
"Family and household plan","Parked","Coach & support","feature","Coach & admin","api, web","L","Product call","","Product call"
